
Heating water on,Hot water,heat,HeatOn,"1,2,3,4,5",06:30,"1,2,3,4,5",16:00,"6,7",06:30,"6,7",16:00
Heating water off,Hot water,heat,Off,"1,2,3,4,5",08:15,"1,2,3,4,5",18:30,"6,7",08:15,"6,7",18:30

Attic on,Attic stat,set,14.0,"1,2,3,4,5",07:00,"1,2,3,4,5",18:00,"6,7",07:00,"6,7",18:30
Attic off,Attic stat,set,7.0,"1,2,3,4,5",08:00,"1,2,3,4,5",19:00,"6,7",08:00,"6,7",19:00

Extension on,Extension stat,set,18.0,"1,2,3,4,5",06:30,"1,2,3,4,5",17:00,"6,7",07:00,"6,7",14:30
Extension off,Extension stat,set,7.0,"1,2,3,4,5",08:30,"1,2,3,4,5",22:00,"6,7",08:45,"6,7",22:00

Upstairs on,Upstairs stat,set,11.0,"1,2,3,4,5",06:30,"1,2,3,4,5",16:30,"6,7",07:00,"6,7",14:30
Upstairs off,Upstairs stat,set,7.0,"1,2,3,4,5",08:30,"1,2,3,4,5",22:00,"6,7",08:45,"6,7",22:00

Ground floor on,Ground floor stat,set,18.0,"1,2,3,4,5",07:00,"1,2,3,4,5",16:30,"6,7",07:00,"6,7",14:30
Ground floor off,Ground floor stat,set,7.0,"1,2,3,4,5",08:30,"1,2,3,4,5",22:00,"6,7",08:45,"6,7",22:00
